IDENTIFY	"F-36A_Tsunami"									
CATEGORY	FIGHTER									
CDVARGEO	0	#EFFECT	OF	VARIABLE	GEOMETRY	WING	FOR	Cd		
CLBYFLAP	0.1	#EFFECT	OF	FLAP	FOR	Cl				
CDBYFLAP	0.2	#EFFECT	OF	FLAP	FOR	Cd				
CDBYGEAR	0.5	#EFFECT	OF	GEAR	FOR	Cd				
CDSPOILR	2	#EFFECT	OF	SPOILER	FOR	Cd				
										
WINGAREA	35m^2	#WING	AREA							
										
MXIPTAOA	33.19deg	#MAX	INPUT	AOA						
MXIPTSSA	7.22deg	#MAX	INPUT	SSA						
MXIPTROL	519.55deg	#MAX	INPUT	ROLL						
										
REM	CPITMANE	corresponds	to	Spring	Constant	K				
REM	CPITSTAB	corresponds	to	Damper	Constant	B				
REM	To	be	critically	damped,	B=2*sqrt(K)					
REM	2.00%	Settling	Time=??							
										
MANESPD1	40kt	#MINIMUM	MANEUVABLE	SPEED						
MANESPD2	80kt	#FULLY	MANEUVABLE	SPEED						
CPITMANE	18.86	#PITCH	MANEUVERBILITY	CONSTANT						
CPITSTAB	1.74	#PITCH	STABILITY	CONSTANT						
CYAWMANE	9.43	#YAW	MANEUVABILITY	CONSTANT						
CYAWSTAB	5.22	#YAW	STABILITY	CONSTANT						
CROLLMAN	5.66	#ROLL	MANEUVABILITY	CONSTANT						
										
CTLLDGEA	TRUE	#CONTROL	LANDINGGEAR							
CTLBRAKE	FALSE	#CONTROL	BRAKE							
CTLSPOIL	0	#CONTROL	SPOILER							
CTLABRNR	FALSE	#CONTROL	AFTERBURNER							
CTLTHROT	0	#CONTROL	THRUST							
CTLIFLAP	0	#CONTROL	FLAP							
CTLINVGW	0	#CONTROL	VARIABLE	GEOMETRY	WING					
CTLATVGW	FALSE	#CONTROL	AUTO	VARIABLE	GEOMETRY	WING				
										
POSITION	0m	3ft	0m	#POSITION						
ATTITUDE	45deg	0deg	0deg	#ATTITUDE						
INITFUEL	75.00%	#INITIAL	FUEL							
INITLOAD	0.0t	#INITIAL	PAYLOAD							
INITSPED	0.0MACH	#INITIAL	SPEED							
										
REM	Slots	must	come	before	Inits.					

HRDPOINT 0.7m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT -0.7m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT 0.5m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT -0.5m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT 0.3m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT -0.3m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT 0.1m 0.1m -1.6m AIM9 AIM120 AGM65 B500
HRDPOINT -0.1m 0.1m -1.6m AIM9 AIM120 AGM65 B500

AAMVISIB FALSE
AGMVISIB FALSE
BOMVISIB FALSE

RADARCRS 0.25			
										
MAXNMAAM	999									
MAXNMAGM	999									
MAXNBOMB	999									
MAXNAAMM	999									
MAXNMRKT	38									
LMTBYHDP	TRUE	#Limit	Max	Num	Weapon	by	Hardpoint			
										
INITIGUN	3000	#INITIAL	GUN							
INITIAAM	6	#INITIAL	AAM							
INITIAGM	6	#INITIAL	AGM							
INITAAMM	2									
										
REM	ClZero,CdZero	is	fixed	by	Cruising	condition				
REFVCRUS	1.023MACH	#CRUISING	SPEED							
REFACRUS	20000ft	#CRUISING	ALTITUDE							
REFTCRUS	0.8	#CRUISING	THROTTLE	SETTING						
										
REM	ClSlope,CdConst	is	fixed	by	Landing	condition				
REFVLAND	90kt	#LANDING	SPEED							
REFAOALD	10deg	#LANDING	AOA							
REFLNRWY	2000m	#RUNWAY	REQUIRED	TO	STOP					
REFTHRLD	0.3	#LANDING	THROTTLE	SETTING						
										
										
										
AUTOCALC										

