IDENTIFY "MV/SA-42"
CATEGORY ATTACKER
AFTBURNR FALSE
PROPELLR 9160HP               #PROPELLER ENGINE
TURRETRG 0 9000m
TURRETPO 1 0m -0.8m 2.8m 0deg 0deg 0deg #Number x y z h p b
TURRETPT 1 0deg 0deg 0deg               #Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 -30deg 30deg 0deg            #Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 0                            #Ammo
TURRETIV 1 0.01sec                      #Number ShootingInterval
TURRETNM 1 0160                         #DNM Node Name
TURRETAR 1                              #Anti Air Capable
REM TURRETGD 1                          #Anti Ground Capable
TURRETCT 1 PILOT                        #Controlled by the pilot
TURRETRG 1 0m
TURRETPO 2 0m -0.8m 2.8m 0deg 0deg 0deg #Number x y z h p b
TURRETPT 2 -12deg 12deg 0deg            #Number MinPitch MaxPitch NeutralPitch
TURRETHD 2 -30deg 30deg 0deg            #Number MinHdg MaxHdg NeutralHdg
TURRETAM 2 0                            #Ammo
TURRETIV 2 0.01sec                      #Number ShootingInterval
TURRETNM 2 0161                         #DNM Node Name
TURRETAR 2 0                            #Anti Air Capable
REM TURRETGD 0                          #Anti Ground Capable
TURRETCT 2 PILOT                        #Controlled by the pilot
TURRETRG 2 0m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 295kt                #CRUISING SPEED
REFACRUS 3000ft               #CRUISING ALTITUDE
REFTCRUS 0.7                  #CRUISING THROTTLE SETTING
REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 65kt                 #LANDING SPEED
REFAOALD 15deg                #LANDING AOA
REFLNRWY 200m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
